corpus,experiment,condition,class,fold,metric,value
sep28k,matched_retraining_fixed,opus_16k,WordRep,0,brier,0.1371106062501109
sep28k,matched_retraining_val,opus_16k,WordRep,0,brier,0.1371106062501109
sep28k,majority_vote_fixed,opus_16k,WordRep,0,brier,0.14310770324658734
sep28k,mlp_head_degraded,opus_16k,WordRep,0,brier,0.1057366207242012
sep28k,deployment_fixed,opus_16k,Interjection,0,f1,0.7316209034543845
sep28k,deployment_clean_val,opus_16k,Interjection,0,f1,0.7317880794701986
sep28k,deployment_deg_val,opus_16k,Interjection,0,f1,0.7317880794701986
sep28k,matched_retraining_fixed,opus_16k,Interjection,0,f1,0.7375
sep28k,matched_retraining_val,opus_16k,Interjection,0,f1,0.7393939393939394
sep28k,majority_vote_fixed,opus_16k,Interjection,0,f1,0.7058823529411765
sep28k,mlp_head_degraded,opus_16k,Interjection,0,f1,0.730732635585157
sep28k,deployment_fixed,opus_16k,Interjection,0,precision,0.7591911764705882
sep28k,deployment_clean_val,opus_16k,Interjection,0,precision,0.709470304975923
sep28k,deployment_deg_val,opus_16k,Interjection,0,precision,0.709470304975923
sep28k,matched_retraining_fixed,opus_16k,Interjection,0,precision,0.77196261682243
sep28k,matched_retraining_val,opus_16k,Interjection,0,precision,0.7491228070175439
sep28k,majority_vote_fixed,opus_16k,Interjection,0,precision,0.5845588235294118
sep28k,mlp_head_degraded,opus_16k,Interjection,0,precision,0.8240343347639485
sep28k,deployment_fixed,opus_16k,Interjection,0,recall,0.705982905982906
sep28k,deployment_clean_val,opus_16k,Interjection,0,recall,0.7555555555555555
sep28k,deployment_deg_val,opus_16k,Interjection,0,recall,0.7555555555555555
sep28k,matched_retraining_fixed,opus_16k,Interjection,0,recall,0.705982905982906
sep28k,matched_retraining_val,opus_16k,Interjection,0,recall,0.7299145299145299
sep28k,majority_vote_fixed,opus_16k,Interjection,0,recall,0.8907563025210085
sep28k,mlp_head_degraded,opus_16k,Interjection,0,recall,0.6564102564102564
sep28k,deployment_fixed,opus_16k,Interjection,0,auc,0.8520264409919582
sep28k,deployment_clean_val,opus_16k,Interjection,0,auc,0.8520264409919582
sep28k,deployment_deg_val,opus_16k,Interjection,0,auc,0.8520264409919582
